price,speed,hd,ram,screen,ads
2095,33,130,4,14,95
3895,50,452,8,14,95
2895,50,340,16,14,95
1499,25,170,4,14,95
3165,66,250,4,17,95
2525,50,250,4,15,95
2325,66,250,8,14,95
2499,33,170,4,14,95
2799,33,230,4,14,95
1795,33,170,4,14,95
2199,33,210,4,14,95
2355,50,250,8,14,95
3220,66,340,8,15,95
2420,33,170,8,15,95
2544,33,245,8,14,95
2945,50,250,4,17,95
2295,33,245,8,14,95
1495,33,85,2,14,95
2065,50,170,4,14,95
2295,66,130,4,14,95
1799,25,170,4,14,95
2220,33,250,4,14,95
2075,50,170,4,14,95
1749,25,120,4,14,95
2195,25,245,8,14,95
2255,50,250,8,14,95
2395,33,250,4,15,95
2720,33,250,8,15,95
2195,50,130,4,14,95
2225,33,250,8,14,95
4020,66,500,8,14,95
2475,50,250,8,14,95
1975,50,170,4,14,95
3995,66,452,8,14,95
2595,66,245,8,14,95
2295,66,170,4,14,95
2199,33,212,4,14,95
1975,33,250,8,14,95
3895,66,500,8,15,95
2095,33,250,4,15,95
2225,33,250,8,15,95
3599,66,330,8,14,95
2075,33,250,8,14,95
2499,33,212,8,14,95
2575,66,250,8,15,95
2999,50,170,4,14,95
2195,33,170,8,15,95
3065,50,250,4,17,95
3399,66,230,4,15,95
1995,33,130,4,14,95
1595,25,170,4,15,95
2645,50,250,4,15,95
2345,50,250,8,14,95
2795,33,340,16,14,95
1895,25,130,4,14,95
2495,50,245,8,14,95
2599,50,210,4,14,95
1595,33,85,2,14,95
1999,33,120,8,14,95
2425,66,250,8,14,95
2495,33,250,8,15,95
1795,33,170,4,15,95
2744,66,245,8,14,95
3795,33,452,8,14,95
2745,66,250,4,15,95
2399,50,212,4,14,95
2645,33,250,8,17,95
1945,33,170,4,14,95
1695,50,85,2,14,95
2195,50,170,4,14,95
2815,33,250,4,17,95
1899,25,120,4,14,95
2644,50,245,8,14,95
3795,66,500,8,14,95
2395,33,245,8,14,95
1695,33,170,4,14,95
2575,66,250,8,14,95
2695,33,340,16,14,95
2999,66,245,16,15,100
1899,33,170,4,14,100
2499,50,210,4,14,100
1999,33,213,8,14,100
2055,50,170,4,14,100
2065,50,170,4,14,100
2055,33,250,8,14,100
2099,33,212,4,14,100
1995,33,130,4,14,100
2220,33,250,4,14,100
3220,66,340,8,15,100
3995,66,452,8,14,100
2785,33,250,8,17,100
2475,50,250,8,15,100
1499,25,170,4,14,100
1595,33,85,2,14,100
2099,66,120,4,14,100
2885,66,170,8,15,100
3795,33,452,8,14,100
2295,66,170,4,14,100
3895,66,500,8,15,100
2395,33,245,8,14,100
3135,66,250,8,17,100
2420,33,170,8,15,100
2125,66,170,4,14,100
2985,66,250,8,17,100
1395,25,85,2,14,100
2295,33,245,8,14,100
2095,33,130,4,14,100
2795,33,340,16,14,100
1945,33,170,4,14,100
2635,33,250,8,17,100
2695,66,250,8,15,100
2199,50,213,8,14,100
3895,50,452,8,14,100
2599,50,212,8,14,100
2745,66,170,8,14,100
1920,33,170,4,14,100
2895,50,340,16,14,100
2199,33,210,4,14,100
2915,50,250,8,17,100
1999,33,120,8,14,100
2720,33,250,8,15,100
1999,33,170,4,14,100
2195,33,170,8,15,100
2195,25,245,8,14,100
2295,66,130,4,14,100
1595,25,170,4,15,100
1695,33,170,4,14,100
1495,25,170,4,14,100
3795,66,500,8,14,100
1699,33,120,4,14,100
1895,25,130,4,14,100
2335,50,250,8,14,100
2495,50,245,8,14,100
2575,66,250,8,14,100
2495,33,250,8,15,100
3299,66,245,16,15,100
2699,66,213,8,14,100
1695,50,85,2,14,100
2999,66,170,4,14,100
2399,66,213,8,14,100
1499,25,170,4,14,100
2395,33,170,8,14,100
1720,25,170,4,14,100
1495,33,85,2,14,100
2399,66,120,4,14,100
3035,50,250,8,17,100
2449,33,230,4,14,100
1775,33,170,4,14,100
2599,33,245,16,15,100
2995,66,340,8,15,100
2345,33,250,8,15,100
2535,33,170,8,15,100
2345,50,250,8,14,100
1899,50,120,4,14,100
2195,50,130,4,14,100
2645,50,170,8,14,100
2785,50,170,8,15,100
2799,50,245,16,15,100
2999,66,340,4,15,100
2095,33,250,4,15,100
4020,66,500,8,14,100
2595,50,250,8,15,100
2695,33,340,16,14,100
2195,33,250,8,15,100
2995,66,340,16,14,100
2195,50,170,4,14,100
2399,33,212,8,14,100
2405,66,250,8,14,100
1795,66,85,2,14,100
2225,33,250,8,14,100
1995,33,250,4,14,100
2299,50,212,4,14,100
1795,33,170,4,15,100
2545,66,250,8,15,100
2595,66,245,8,14,100
1399,25,170,4,14,100
2475,50,250,8,14,100
2595,25,340,16,14,100
1695,50,85,2,14,108
3995,66,452,8,14,108
2999,66,240,4,15,108
2495,50,245,8,14,108
2455,66,250,8,14,108
2299,50,212,4,14,108
2690,25,340,16,14,108
2155,33,250,8,14,108
2890,33,340,16,14,108
1899,33,170,4,14,108
1595,25,170,4,14,108
1990,25,130,4,14,108
1895,25,130,4,14,108
1895,33,170,4,14,108
2799,50,245,16,15,108
2590,50,245,8,14,108
1499,25,170,4,14,108
2955,50,250,8,17,108
2285,50,250,8,14,108
2475,50,250,8,15,108
3795,33,452,8,14,108
1999,33,213,8,14,108
2599,50,212,8,14,108
2895,50,340,16,14,108
3895,50,452,8,14,108
2695,66,250,8,14,108
1995,50,170,4,14,108
2399,66,120,4,14,108
2605,33,250,8,17,108
2335,66,250,8,14,108
2195,66,170,4,14,108
2425,66,250,8,15,108
2995,66,340,16,14,108
2599,33,245,16,15,108
2390,33,245,8,14,108
1690,33,85,2,14,108
1495,33,85,2,14,108
2395,33,250,8,14,108
2099,33,212,4,14,108
3090,66,340,16,14,108
2599,33,240,4,15,108
1999,33,170,4,14,108
2195,50,130,4,14,108
2190,33,130,4,14,108
2025,50,170,4,14,108
1699,33,120,4,14,108
2790,33,340,16,14,108
1795,33,170,4,14,108
2990,50,340,16,14,108
2905,66,250,8,17,108
2825,33,250,8,17,108
2390,66,130,4,14,108
2699,66,213,8,14,108
2995,66,340,8,15,108
1590,33,85,2,14,108
2345,33,250,8,15,108
2199,50,213,8,14,108
2290,50,130,4,14,108
2595,50,250,8,15,108
2515,33,250,8,15,108
2145,50,170,4,14,108
2405,50,250,8,14,108
2525,50,250,8,14,108
2595,50,250,8,15,108
2090,33,130,4,14,108
2075,66,170,4,14,108
2799,50,240,4,15,108
3299,66,245,16,15,108
2645,66,250,8,15,108
3125,66,250,8,17,108
2295,33,245,8,14,108
1775,33,170,4,14,108
2095,33,130,4,14,108
2155,50,250,8,14,108
3075,50,250,8,17,108
2815,66,250,8,15,108
1599,25,170,4,14,108
2099,33,120,4,14,108
2645,50,250,8,15,108
1795,66,85,2,14,108
2035,33,250,8,14,108
2490,33,245,8,14,108
3225,66,212,4,15,108
2690,66,245,8,14,108
2195,25,245,8,14,108
1890,66,85,2,14,108
1995,33,130,4,14,108
2695,33,340,16,14,108
2595,25,340,16,14,108
1595,33,85,2,14,108
1490,25,85,2,14,108
2125,33,250,8,15,108
2399,66,213,8,14,108
2795,33,340,16,14,108
2290,25,245,8,14,108
2395,33,245,8,14,108
2399,33,212,8,14,108
1790,50,85,2,14,108
2099,66,120,4,14,108
1395,25,85,2,14,108
1895,50,170,4,14,108
2295,66,130,4,14,108
2595,66,245,8,14,108
1899,50,120,4,14,108
1399,25,170,4,14,108
2999,66,170,4,14,108
2999,66,245,16,15,108
2449,33,230,4,14,108
1795,33,170,4,14,139
1899,33,212,4,14,139
2395,33,340,8,14,139
2399,50,320,8,14,139
1595,33,170,4,14,139
2490,33,340,8,14,139
2995,66,452,16,14,139
2890,33,452,16,14,139
2190,33,214,4,15,139
2399,66,213,8,14,139
2285,50,250,8,14,139
2590,33,340,8,15,139
2795,33,452,16,14,139
1495,33,170,4,14,139
2075,66,170,4,14,139
2090,33,214,4,15,139
2195,33,250,8,15,139
3999,66,340,16,17,139
1699,33,120,4,14,139
1995,33,250,8,14,139
1690,33,107,2,14,139
3495,33,452,8,14,139
2195,66,170,4,14,139
3090,66,452,16,14,139
2690,25,452,16,14,139
1895,25,214,4,14,139
2495,50,250,8,15,139
2405,50,250,8,14,139
1595,33,107,2,14,139
2890,33,452,16,15,139
2390,25,340,8,14,139
1690,33,107,2,15,139
2295,25,340,8,14,139
2790,33,452,16,14,139
2695,33,452,16,14,139
2595,25,452,16,14,139
1995,33,214,4,14,139
2049,33,405,4,14,139
1399,25,170,4,14,139
2805,33,250,8,17,139
2019,33,120,4,14,139
3055,50,250,8,17,139
2990,50,452,16,14,139
2605,33,250,8,17,139
2125,33,250,8,15,139
1490,25,107,2,14,139
1699,33,170,4,14,139
2495,33,340,8,14,139
2599,33,245,16,15,139
2220,33,250,8,14,139
1590,33,107,2,15,139
1499,33,120,4,14,139
2625,66,250,8,15,139
1395,25,107,2,14,139
2395,33,250,8,14,139
2420,33,250,8,15,139
2425,66,250,8,15,139
2515,33,250,8,15,139
2375,50,250,8,15,139
3105,66,250,8,17,139
2390,66,214,4,15,139
2905,66,250,8,17,139
2690,25,452,16,15,139
2695,66,250,8,14,139
1790,50,107,2,14,139
3495,66,500,8,14,139
2790,33,452,16,15,139
1790,50,107,2,15,139
1795,66,107,2,14,139
2995,66,340,8,15,139
1995,50,170,4,14,139
2599,50,405,8,14,139
3720,66,500,8,14,139
2155,33,250,8,14,139
1599,25,170,4,14,139
2525,50,250,8,14,139
2299,33,405,8,14,139
1895,33,170,4,14,139
1490,25,107,2,15,139
2035,33,250,8,14,139
1720,33,170,4,14,139
2595,50,250,8,15,139
2290,50,214,4,15,139
2455,50,250,8,15,139
1695,50,107,2,14,139
2249,50,230,4,14,139
1999,50,212,4,14,139
2455,66,250,8,14,139
2595,50,340,8,14,139
2859,66,212,4,15,139
2599,50,405,4,15,139
2855,50,250,8,17,139
2790,66,340,8,14,139
3990,66,1000,16,14,139
3595,50,452,8,14,139
2195,50,214,4,14,139
3599,66,405,8,14,139
2690,50,340,8,15,139
1999,33,213,8,14,139
2990,50,452,16,15,139
1890,66,107,2,14,139
2190,33,214,4,14,139
2720,50,250,8,15,139
2145,50,170,4,14,139
2295,66,214,4,14,139
1990,25,214,4,15,139
2695,66,340,8,14,139
3149,66,230,8,14,139
1775,33,170,4,14,139
2490,33,340,8,15,139
3599,33,340,16,17,139
2690,50,340,8,14,139
3195,66,540,8,15,139
3695,66,452,8,14,139
2645,50,250,8,15,139
3090,66,452,16,15,139
1890,66,107,2,15,139
1999,33,170,4,14,139
2935,50,250,8,17,139
1990,25,214,4,14,139
2290,50,214,4,14,139
2390,66,214,4,14,139
2025,50,170,4,14,139
2095,33,214,4,14,139
2590,33,340,8,14,139
1499,25,170,4,14,139
2325,33,250,8,15,139
2099,66,120,4,14,139
2999,66,245,16,15,139
2790,66,340,8,15,139
1590,33,107,2,14,139
2499,50,170,4,14,139
2575,50,250,8,15,139
2390,25,340,8,15,139
1495,33,107,2,14,139
2895,50,452,16,14,139
2335,66,250,8,14,139
2090,33,214,4,14,139
2815,66,250,8,15,139
2195,50,250,4,14,176
1899,33,170,4,14,176
3599,66,450,8,14,176
2095,33,250,4,14,176
2690,33,452,16,15,176
2795,66,250,8,15,176
2799,33,240,4,14,176
2698,66,245,8,14,176
2390,33,340,8,14,176
2695,66,340,8,14,176
2095,33,214,4,14,176
2599,50,450,8,15,176
1825,50,170,4,14,176
1790,50,107,2,15,176
2720,66,340,8,14,176
1295,25,107,2,14,176
2990,50,452,16,14,176
1890,66,107,2,15,176
2595,33,452,16,14,176
1490,33,107,2,14,176
2075,50,250,8,14,176
3699,33,345,16,17,176
2690,33,452,16,14,176
2245,66,250,4,15,176
3999,66,345,16,17,176
2195,50,214,4,14,176
2999,50,240,4,14,176
1895,33,212,8,14,176
2295,50,212,8,15,176
2190,33,214,4,14,176
1690,33,107,2,14,176
1390,25,107,2,15,176
1890,25,214,4,14,176
2290,25,340,8,14,176
1720,33,170,4,14,176
2325,66,250,8,15,176
1699,33,170,4,14,176
2045,50,250,4,15,176
2299,66,120,4,14,176
2755,66,250,8,17,176
2145,66,250,4,14,176
3090,66,452,16,14,176
2790,66,340,8,14,176
2099,33,120,4,14,176
1998,66,130,4,14,176
2590,33,340,8,14,176
3365,50,540,8,17,176
2545,66,250,8,15,176
3265,33,540,8,17,176
2250,66,170,4,14,176
2890,33,452,16,14,176
1599,25,170,4,14,176
1825,33,170,4,15,176
2125,66,170,4,15,176
2245,33,250,8,15,176
1945,33,250,4,15,176
2890,33,452,16,15,176
1599,66,130,4,14,176
2295,66,214,4,14,176
1520,25,80,4,14,176
2745,33,540,8,14,176
2899,66,340,8,15,176
2390,66,214,4,14,176
1675,25,120,4,14,176
3149,66,230,8,14,176
2590,25,452,16,14,176
1999,50,212,4,14,176
2590,25,452,16,15,176
1449,25,120,4,14,176
1490,33,107,2,15,176
2299,66,245,8,14,176
1595,33,107,2,14,176
2495,33,250,8,15,176
1890,66,107,2,14,176
2995,66,452,16,14,176
3609,66,527,4,15,176
2790,66,340,8,15,176
2295,33,340,8,14,176
1799,33,120,4,14,176
3990,66,1000,16,14,176
2999,66,240,4,15,176
2275,33,250,8,15,176
2290,50,214,4,15,176
1499,33,130,4,14,176
2555,50,250,8,17,176
2025,66,170,4,14,176
2299,33,450,8,14,176
1975,33,250,8,14,176
2109,33,120,4,14,176
3595,66,500,8,15,176
2595,66,340,8,15,176
2395,66,250,4,14,176
1899,33,250,4,14,176
2120,33,212,8,14,176
1790,50,107,2,14,176
1899,33,212,4,14,176
1990,33,214,4,14,176
1399,25,170,4,14,176
1898,33,130,4,14,176
1725,33,170,4,14,176
2595,50,250,8,15,176
1499,25,170,4,14,176
1990,33,214,4,15,176
2595,50,340,8,14,176
1395,25,80,4,15,176
2675,33,250,8,17,176
1899,25,120,4,14,176
2990,50,452,16,15,176
1925,50,170,4,15,176
4098,33,345,16,17,176
2895,50,452,16,14,176
2495,66,340,8,14,176
1995,33,212,8,15,176
1595,33,170,4,15,176
2195,25,340,8,14,176
2399,50,320,8,14,176
2390,33,340,8,15,176
2690,50,340,8,14,176
1690,33,107,2,15,176
2398,33,245,8,14,176
2775,50,250,8,17,176
1395,33,107,2,14,176
2520,50,212,8,15,176
2125,50,250,8,15,176
4398,66,345,16,17,176
2290,50,214,4,14,176
2489,50,250,8,15,176
2190,33,214,4,15,176
2599,33,240,4,15,176
3789,66,527,8,15,176
2699,33,345,16,15,176
2799,50,240,4,15,176
2499,50,170,4,14,176
2049,33,450,4,14,176
2575,66,250,8,15,176
2999,66,345,16,15,176
3495,66,500,8,14,176
2995,66,340,16,15,176
2275,66,250,8,14,176
2590,33,340,8,15,176
2975,66,250,8,17,176
1950,33,170,4,14,176
2599,50,450,8,14,176
1695,50,107,2,14,176
2455,33,250,8,17,176
1495,33,170,4,14,176
2290,25,340,8,15,176
3720,66,500,8,14,176
1795,66,107,2,14,176
2495,33,340,8,14,176
3565,66,540,8,17,176
2845,50,540,8,14,176
2025,33,250,8,15,176
3045,66,540,8,14,176
2299,50,230,4,14,176
2345,50,250,8,15,176
2390,66,214,4,15,176
2795,33,452,16,14,176
1390,25,107,2,14,176
1749,33,250,4,14,176
2690,50,340,8,15,176
1579,25,120,4,14,176
3098,33,345,16,15,176
1295,25,80,4,14,176
1945,50,250,4,14,176
2099,33,120,4,14,176
1999,33,245,8,14,176
3090,66,452,16,15,176
1890,25,214,4,15,176
1895,33,214,4,14,176
3398,66,345,16,15,176
1845,33,250,4,14,176
1795,25,214,4,14,176
2050,50,170,4,14,176
2495,25,452,16,14,176
2375,50,250,8,15,176
1690,33,107,2,15,249
3299,50,450,8,15,249
1995,66,107,2,14,249
1495,25,107,2,14,249
2999,66,345,16,15,249
3599,33,345,16,17,249
3295,66,545,8,14,249
3999,66,450,8,17,249
3025,33,1370,8,14,249
1890,25,214,4,15,249
2648,66,245,8,14,249
2295,66,214,4,14,249
2199,66,340,4,14,249
2090,66,107,2,14,249
2075,33,250,8,15,249
2744,33,452,16,14,249
2425,33,545,8,14,249
1749,33,230,4,14,249
1899,33,230,4,14,249
1520,25,170,4,14,249
1795,33,214,8,14,249
1879,50,210,4,15,249
1590,25,107,2,15,249
1890,33,107,2,14,249
1720,33,212,4,14,249
1845,33,250,8,15,249
2495,25,452,16,14,249
3099,66,450,16,15,249
2990,50,452,16,14,249
2144,66,107,2,14,249
1890,33,107,2,15,249
1975,33,250,8,14,249
1945,33,250,4,14,249
4248,66,345,16,17,249
2244,25,340,8,14,249
2044,33,107,2,14,249
1690,33,107,2,14,249
2844,66,340,8,14,249
1749,33,170,4,14,249
2395,33,340,8,17,249
1890,25,214,4,14,249
2694,25,452,16,14,249
2465,33,250,8,17,249
1999,33,245,8,14,249
1599,25,120,4,14,249
2745,66,250,8,17,249
1595,33,107,2,14,249
1999,33,120,4,14,249
1939,50,170,4,14,249
1590,25,107,2,14,249
1695,33,250,4,14,249
3048,33,345,16,15,249
1599,25,170,4,14,249
2144,50,107,2,14,249
2744,25,452,16,14,249
1399,25,170,4,14,249
2015,66,210,4,14,249
2799,66,450,8,15,249
2095,25,340,8,14,249
2544,66,214,4,14,249
3948,33,345,16,17,249
2690,33,452,16,15,249
2699,33,345,16,15,249
2490,33,340,8,14,249
2244,33,214,4,14,249
1399,33,130,4,14,249
2795,33,452,16,14,249
3595,50,452,8,14,249
2045,33,250,4,15,249
2290,50,214,4,15,249
3090,66,452,16,15,249
2644,33,340,8,14,249
2348,33,245,8,14,249
2120,33,212,8,14,249
2494,66,214,4,14,249
2394,33,340,8,14,249
1845,66,210,4,14,249
3044,50,452,16,14,249
2195,50,214,4,14,249
2995,66,340,16,15,249
1829,33,170,4,14,249
2845,66,340,8,17,249
1395,25,107,4,14,249
3495,33,452,8,14,249
2890,33,452,16,14,249
2344,33,214,4,14,249
2944,33,452,16,14,249
2290,33,340,8,15,249
2799,33,240,4,14,249
2895,50,452,16,14,249
2599,50,230,4,14,249
3499,66,450,8,17,249
1509,50,130,4,14,249
2399,50,340,8,14,249
2290,50,214,4,14,249
2544,33,340,8,14,249
2295,66,250,8,15,249
1579,25,120,4,14,249
2495,50,340,8,14,249
1944,33,107,2,14,249
1769,66,170,4,14,249
3094,50,452,16,14,249
1849,33,170,4,14,249
1744,25,107,2,14,249
2744,50,340,8,14,249
1848,33,130,4,14,249
1644,25,107,2,14,249
2344,50,214,4,14,249
2694,50,340,8,14,249
2495,66,340,8,14,249
2945,66,250,8,15,249
2395,50,340,8,15,249
2590,25,452,16,15,249
1795,33,107,2,14,249
1559,50,130,4,14,249
2444,50,214,4,14,249
1794,33,107,2,14,249
3348,66,345,16,15,249
2999,66,540,8,15,249
2294,33,214,4,14,249
2095,33,214,4,14,249
1995,33,212,8,15,249
1769,33,210,4,15,249
2059,66,170,4,14,249
2990,50,452,16,15,249
2290,33,340,8,14,249
1299,33,130,4,14,249
2399,50,250,8,15,249
3789,66,527,8,15,249
2325,66,250,8,15,249
3495,66,500,8,14,249
2644,25,452,16,14,249
2644,50,340,8,14,249
1694,25,107,2,14,249
1990,33,214,4,14,249
2225,66,250,4,14,249
1295,25,170,4,14,249
2144,33,214,4,14,249
1499,25,170,4,14,249
2294,25,340,8,14,249
3695,66,452,8,14,249
2099,33,120,4,14,249
2794,33,452,16,14,249
2590,50,340,8,15,249
1795,25,214,4,14,249
1539,33,170,4,14,249
2090,66,107,2,15,249
2344,25,340,8,14,249
2195,33,340,8,14,249
1879,50,170,4,14,249
1975,66,250,4,14,249
2390,66,214,4,15,249
3720,66,500,8,14,249
1895,50,107,2,14,249
1999,66,210,4,15,249
2595,66,340,8,14,249
2620,50,340,8,15,249
2344,33,340,8,14,249
1990,50,107,2,14,249
2094,50,107,2,14,249
1945,33,340,8,15,249
2190,33,214,4,15,249
2299,66,120,4,14,249
2444,33,340,8,14,249
2175,66,250,8,15,249
2044,33,214,4,14,249
2244,66,107,2,14,249
2125,66,250,8,15,249
2845,66,250,8,14,249
3899,66,345,16,17,249
1649,50,170,4,14,249
2595,66,340,8,15,249
3144,66,452,16,14,249
1999,33,230,4,14,249
2899,50,240,4,14,249
3090,66,452,16,14,249
2094,33,214,4,14,249
1895,33,214,4,14,249
2999,66,450,8,15,249
2994,33,452,16,14,249
1495,33,107,4,14,249
1395,25,170,4,15,249
2675,66,340,8,17,249
2394,50,214,4,14,249
2590,25,452,16,14,249
2690,33,452,16,14,249
1990,33,214,4,15,249
2190,25,340,8,15,249
3895,66,1370,8,14,249
2999,66,320,8,15,249
2890,33,452,16,15,249
1799,33,120,4,14,249
2794,66,340,8,14,249
1899,25,120,4,14,249
2190,33,214,4,14,249
1399,25,170,4,14,249
2844,33,452,16,14,249
1559,33,170,4,14,249
2995,66,452,16,14,249
2325,66,250,4,15,249
1599,66,130,4,14,249
2299,66,245,8,14,249
1865,33,250,4,14,249
1990,50,107,2,15,249
1994,33,107,2,14,249
2109,33,120,4,14,249
1948,66,130,4,14,249
1575,33,210,4,14,249
2690,66,340,8,14,249
1449,25,120,4,14,249
2690,66,340,8,15,249
1695,25,214,8,14,249
2145,66,250,4,14,249
2044,25,214,4,14,249
1895,33,250,8,15,249
2015,33,250,8,15,249
2490,33,340,8,15,249
1844,33,107,2,14,249
1049,33,80,2,14,249
2595,33,452,16,14,249
2390,66,214,4,14,249
1799,33,250,4,14,249
1744,33,107,2,14,249
2565,33,340,8,17,249
2744,66,340,8,14,249
2799,50,320,8,15,249
1994,25,214,4,14,249
1495,33,212,4,14,249
2045,33,250,8,15,249
3194,66,452,16,14,249
1499,33,130,4,14,249
2194,66,107,2,14,249
3609,66,527,4,15,249
2190,25,340,8,14,249
1745,33,210,4,14,249
2590,50,340,8,14,249
1639,66,130,4,14,249
2044,50,107,2,14,249
3244,66,452,16,14,249
3595,66,500,8,15,249
1595,33,212,4,15,249
2444,66,214,4,14,249
3144,50,452,16,14,249
2395,33,340,8,14,249
1944,25,214,4,14,249
2594,33,340,8,14,249
1895,33,212,8,14,249
3044,33,452,16,14,249
2225,66,340,8,15,249
1495,33,212,4,14,298
2799,50,320,8,15,298
1544,25,107,2,14,298
2344,33,426,8,14,298
2794,33,540,16,14,298
1399,25,170,4,14,298
2295,50,107,4,14,298
2195,66,214,4,14,298
2594,50,426,8,14,298
3299,50,450,8,15,298
2194,25,426,8,14,298
3499,66,450,8,17,298
2090,33,214,4,14,298
2695,66,340,4,14,298
2644,50,426,8,14,298
1695,25,214,4,14,298
2095,50,214,4,14,298
1594,25,107,2,14,298
1845,66,210,4,14,298
2044,50,107,2,14,298
4295,33,1100,16,14,298
2795,33,540,16,14,298
2045,33,250,8,15,298
2544,33,426,8,14,298
2399,50,340,8,14,298
2225,66,250,4,14,298
1470,25,214,4,14,298
1575,33,210,4,14,298
2394,66,214,4,14,298
1795,50,107,2,14,298
1599,50,170,4,14,298
1299,33,130,4,14,298
4494,33,1100,16,14,298
2744,33,540,16,14,298
2444,33,426,8,14,298
2090,25,426,8,15,298
2290,66,214,4,14,298
2469,50,340,8,17,298
1495,33,107,4,14,298
1994,33,214,4,14,298
1644,33,107,2,14,298
2325,66,250,8,15,298
3515,66,424,16,17,298
1544,33,107,4,14,298
1579,25,120,4,14,298
1509,50,130,4,14,298
2589,66,340,8,17,298
2090,25,426,8,14,298
2565,33,340,8,17,298
2494,50,107,4,14,298
1865,25,170,4,17,298
2175,66,250,8,15,298
2190,50,214,4,14,298
1444,25,107,4,14,298
2109,33,120,4,14,298
2395,50,426,8,14,298
1790,33,107,2,15,298
1795,25,107,4,14,298
1695,33,250,4,14,298
3144,66,540,16,14,298
1999,33,230,4,14,298
2494,33,426,8,14,298
1894,25,214,4,14,298
2894,66,340,4,14,298
2399,50,250,8,15,298
1590,33,107,2,15,298
1799,33,120,4,14,298
1999,33,245,8,14,298
3094,50,540,16,14,298
2899,50,240,4,14,298
1879,50,170,4,14,298
2744,25,540,16,14,298
2495,33,340,4,14,298
2594,66,107,4,14,298
2845,66,340,8,17,298
1799,33,170,4,14,298
2999,66,540,8,15,298
3495,50,452,8,14,298
3295,66,545,8,14,298
3099,66,450,16,15,298
1890,50,107,2,14,298
4594,50,1100,16,14,298
1819,50,210,4,15,298
1590,33,107,2,14,298
1899,25,120,4,14,298
2090,33,214,4,15,298
3395,33,452,8,14,298
3025,33,1370,8,14,298
1795,33,214,4,14,298
2590,25,540,16,14,298
2295,66,250,8,15,298
1999,33,120,4,14,298
1945,33,250,4,14,298
1844,25,214,4,14,298
2845,66,250,8,14,298
1599,25,120,4,14,298
1890,33,214,4,14,298
1295,25,170,4,14,298
2844,33,540,16,14,298
1944,33,214,4,14,298
1849,33,170,4,14,298
1994,33,214,8,14,298
2045,33,250,4,15,298
2390,33,426,8,15,298
1995,33,340,8,14,298
1490,25,107,2,15,298
3599,33,345,16,17,298
2344,50,214,4,14,298
2644,66,426,8,14,298
2544,50,426,8,14,298
1990,66,107,2,15,298
1695,25,214,8,14,298
